code,trade_date,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
00036,20260909,远东控股国际,,,,0.275,0.275,+0.000,+0.00,,,
00037,20260909,远东酒店实业,0.485,0.490,0.480,0.490,0.490,+0.000,+0.00,104000,50110,
00038,20260909,第一拖拉机股份,9.775,9.930,9.630,9.890,9.715,+0.175,+1.80,2562000,25231162,
00039,20260909,中国北大荒,,,,0.045,0.045,+0.000,+0.00,,,
00040,20260909,金山科技工业,0.680,0.680,0.670,0.680,0.678,+0.002,+0.29,35000,23790,
00041,20260909,鹰君,15.100,15.230,15.080,15.180,15.130,+0.050,+0.33,186493,2829159,
00042,20260909,东北电气,0.217,0.217,0.217,0.221,0.228,-0.007,-3.07,10000,2170,
00045,20260909,大酒店,5.650,5.650,5.455,5.540,5.585,-0.045,-0.81,313000,1727178,
00046,20260909,科联系统,1.225,1.240,1.225,1.240,1.260,-0.020,-1.59,38000,46860,
00048,20260909,中国汽车内饰,,,,0.380,0.380,+0.000,+0.00,,,
00050,20260909,香港小轮(集团),4.935,4.950,4.895,4.950,4.850,+0.100,+2.06,166000,816265,
00051,20260909,海港企业,,,,4.400,4.400,+0.000,+0.00,,,
00052,20260909,大快活集团,4.700,4.700,4.585,4.565,4.570,-0.005,-0.11,78000,361648,
00053,20260909,国浩集团,72.100,72.100,71.700,72.000,71.600,+0.400,+0.56,7000,503650,
00055,20260909,中星集团控股,0.157,0.157,0.157,0.157,0.148,+0.009,+6.08,50000,7850,
00057,20260909,震雄集团,1.500,1.500,1.500,1.500,1.500,+0.000,+0.00,18000,27000,
00058,20260909,新威国际,0.221,0.240,0.221,0.240,0.237,+0.003,+1.27,160000,36100,
00059,20260909,天誉置业,,,,0.010,0.010,+0.000,+0.00,,,
00060,20260909,香港食品投资,,,,0.580,0.580,+0.000,+0.00,,,
00061,20260909,绿领控股,,,,0.182,0.182,+0.000,+0.00,,,
00062,20260909,载通,8.950,8.995,8.920,8.925,8.950,-0.025,-0.28,89600,802024,
00063,20260909,中亚烯谷集团,0.038,0.038,0.038,0.038,0.039,-0.001,-2.56,211000,8018,
00064,20260909,结好控股,3.810,3.815,3.805,3.810,3.810,+0.000,+0.00,182000,693450,
00065,20260909,弘海高新资源,0.270,0.290,0.270,0.270,0.270,+0.000,+0.00,104000,28880,
00066,20260909,港铁公司,32.800,33.120,32.800,33.100,32.960,+0.140,+0.42,3769180,124561160,
00068,20260909,群核科技,12.530,12.730,11.020,11.200,12.310,-1.110,-9.02,13147100,154078050,
00069,20260909,香格里拉(亚洲),4.100,4.100,4.020,4.020,4.085,-0.065,-1.59,540000,2186530,
00070,20260909,金粤控股,,,,0.068,0.068,+0.000,+0.00,,,
00071,20260909,美丽华酒店,10.110,10.170,10.080,10.170,10.110,+0.060,+0.59,100000,1012560,
00072,20260909,超媒体控股,0.215,0.221,0.215,0.221,0.215,+0.006,+2.79,132000,29064,
00073,20260909,亚洲果业,,,,2.000,2.000,+0.000,+0.00,,,
00075,20260909,渝太地产,0.130,0.130,0.130,0.130,0.135,-0.005,-3.70,27467,3536,
00076,20260909,谊砾控股,,,,0.163,0.163,+0.000,+0.00,5,1,
00077,20260909,进智公共交通,0.480,0.480,0.480,0.480,0.480,+0.000,+0.00,20000,9600,
00078,20260909,富豪酒店,0.440,0.475,0.440,0.450,0.445,+0.005,+1.12,212400,97968,
00079,20260909,世纪建业,,,,0.102,0.100,+0.002,+2.00,120000,14260,
00080,20260909,CAI控股,0.260,0.265,0.260,0.260,0.270,-0.010,-3.70,310000,80750,
00081,20260909,中国海外宏洋集团,2.870,2.930,2.835,2.915,2.915,+0.000,+0.00,4172000,12022425,
00082,20260909,疯狂体育,0.073,0.074,0.072,0.074,0.074,+0.000,+0.00,485600,35321,
00083,20260909,信和置业,10.440,10.470,10.300,10.460,10.470,-0.010,-0.10,18175995,188923400,
00084,20260909,宝光实业,0.068,0.068,0.068,0.068,0.068,+0.000,+0.00,461000,31348,
00085,20260909,中电华大科技,0.780,0.825,0.780,0.825,0.780,+0.045,+5.77,638000,518110,
00086,20260909,新鸿基公司,4.030,4.030,3.990,4.020,4.020,+0.000,+0.00,96000,384410,
00087,20260909,太古股份公司B,15.080,15.600,15.080,15.580,15.250,+0.330,+2.16,861536,13298910,
00088,20260909,大昌集团,3.260,3.245,3.225,3.240,3.260,-0.020,-0.61,140000,452810,
00089,20260909,大生地产,,,,1.890,1.890,+0.000,+0.00,,,
00090,20260909,普星能量,,,,0.920,0.920,+0.000,+0.00,,,
00092,20260909,冠军科技集团,0.188,0.188,0.187,0.188,0.189,-0.001,-0.53,804000,150516,
00093,20260909,零在科技金融,0.360,0.380,0.320,0.355,0.340,+0.015,+4.41,50000,17530,
00094,20260909,绿心集团,0.048,0.049,0.048,0.048,0.049,-0.001,-2.04,400000,19280,
00095,20260909,绿景中国地产,0.202,0.202,0.191,0.191,0.201,-0.010,-4.98,846000,164120,
00096,20260909,友成控股,,,,0.520,0.520,+0.000,+0.00,,,
00097,20260909,恒基发展,0.138,0.141,0.125,0.136,0.138,-0.002,-1.45,884999,114712,
00098,20260909,兴发铝业,5.560,5.560,5.550,5.550,5.625,-0.075,-1.33,6000,33350,
00099,20260909,王氏国际,,,,1.225,1.225,+0.000,+0.00,,,
00100,20260909,MINIMAX-W,334.800,349.400,320.400,320.800,331.200,-10.400,-3.14,14052362,4684979000,
00101,20260909,恒隆地产,7.060,7.070,7.005,7.005,7.065,-0.060,-0.85,5303017,37222234,
00103,20260909,首佳科技,2.010,2.100,2.005,2.090,2.075,+0.015,+0.72,141000,288845,
00104,20260909,冠亚商业,,,,0.225,0.225,+0.000,+0.00,,,
00105,20260909,凯联国际酒店,5.200,5.200,5.200,5.200,5.200,+0.000,+0.00,2000,10400,
00106,20260909,朗诗绿色管理,,,,0.019,0.019,+0.000,+0.00,,,
00107,20260909,四川成渝高速公路,4.800,4.915,4.800,4.885,4.870,+0.015,+0.31,692000,3388250,
00108,20260909,春雨医疗,2.020,2.325,2.020,2.260,2.015,+0.245,+12.16,2642000,5867330,
00110,20260909,中国长远,0.620,0.685,0.620,0.685,0.620,+0.065,+10.48,24000,15660,
00111,20260909,信达国际控股,0.685,0.720,0.685,0.690,0.720,-0.030,-4.17,536000,379390,
00113,20260909,迪生创建,6.030,6.030,5.950,5.960,6.115,-0.155,-2.53,71000,424660,
00114,20260909,兴利集团,0.660,0.660,0.660,0.660,0.660,+0.000,+0.00,15000,9900,
00115,20260909,钧濠集团,,,,4.150,4.150,+0.000,+0.00,1658,6317,
00116,20260909,周生生,14.030,14.030,13.600,13.750,14.110,-0.360,-2.55,909000,12485150,
00117,20260909,天利控股集团,2.500,2.740,2.500,2.700,2.495,+0.205,+8.22,3420000,9052630,
00118,20260909,大同机械,0.199,0.203,0.193,0.200,0.199,+0.001,+0.50,850000,165464,
00119,20260909,保利置业集团,1.295,1.300,1.260,1.260,1.290,-0.030,-2.33,14336000,18173230,
00120,20260909,四海国际,0.050,0.054,0.050,0.054,0.050,+0.004,+8.00,92400,4703,
00122,20260909,鳄鱼恤,1.400,1.400,1.400,1.400,1.400,+0.000,+0.00,2125,2971,
00123,20260909,越秀地产,3.310,3.310,3.225,3.235,3.315,-0.080,-2.41,3799560,12351801,
00124,20260909,粤海置地,0.190,0.202,0.190,0.192,0.191,+0.001,+0.52,631387,123328,
00125,20260909,新兴光学,,,,0.295,0.295,+0.000,+0.00,,,
00126,20260909,佳宁娜,0.087,0.088,0.081,0.088,0.090,-0.002,-2.22,1488000,126060,
