"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	000703","2025-05-08","CN","左侧","75.0","6.05","6.15","0.0165","否"
"	000703","2025-06-13","CN","右侧","85.0","6.16","6.18","0.0032","否"
"	000703","2025-07-21","CN","右侧","85.0","6.03","6.27","0.0398","否"
"	000703","2025-08-20","CN","右侧","100.0","6.23","6.78","0.0883","否"
"	000703","2025-09-25","CN","左侧","70.0","6.41","7.06","0.1014","是"
"	000703","2025-11-25","CN","左侧","90.0","6.99","9.97","0.4263","是"
"","","","","","","","",""
"	000723","2025-05-12","CN","左侧","75.0","4.3","4.45","0.0349","否"
"	000723","2025-07-02","CN","右侧","100.0","4.38","5.09","0.1621","是"
"	000723","2025-08-11","CN","左侧","70.0","4.64","4.96","0.069","否"
"	000723","2025-10-24","CN","右侧","90.0","4.94","5.87","0.1883","是"
"	000723","2026-02-05","CN","右侧","85.0","4.95","5.68","0.1475","是"
"","","","","","","","",""
"	000727","2025-06-24","CN","右侧","75.0","2.4","2.53","0.0542","否"
"	000727","2025-08-01","CN","左侧","70.0","2.38","2.74","0.1513","是"
"	000727","2025-10-16","CN","左侧","90.0","2.61","2.77","0.0613","否"
"	000727","2025-11-28","CN","左侧","70.0","2.84","2.92","0.0282","否"
"	000727","2026-01-13","CN","右侧","90.0","2.68","2.74","0.0224","否"
"	000727","2026-02-12","CN","左侧","75.0","2.57","2.85","0.1089","是"
"","","","","","","","",""
"	000733","2025-06-24","CN","右侧","75.0","47.23","50.51","0.0694","否"
"	000733","2025-10-21","CN","左侧","70.0","47.18","54.8","0.1615","是"
"	000733","2025-12-12","CN","右侧","90.0","49.4","59.3","0.2004","是"
"	000733","2026-02-03","CN","左侧","70.0","54.64","58.9","0.078","否"
"","","","","","","","",""
"	000737","2025-06-09","CN","右侧","75.0","9.37","13.3","0.4194","是"
"	000737","2025-08-18","CN","右侧","90.0","11.52","15.25","0.3238","是"
"	000737","2025-10-22","CN","左侧","70.0","15.16","16.78","0.1069","是"
"	000737","2025-12-01","CN","右侧","85.0","15.02","15.88","0.0573","否"
"	000737","2026-01-06","CN","右侧","90.0","15.9","21.5","0.3522","是"
"","","","","","","","",""
"	000753","2025-05-09","CN","左侧","70.0","5.22","5.78","0.1073","是"
"	000753","2025-07-02","CN","右侧","85.0","5.19","5.9","0.1368","是"
"	000753","2025-10-23","CN","左侧","75.0","7.35","11.32","0.5401","是"
"	000753","2025-11-26","CN","左侧","70.0","7.99","9.42","0.179","是"
"	000753","2026-03-10","CN","左侧","70.0","7.17","7.75","0.0809","否"
"","","","","","","","",""
