"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	600089","2023-04-11","CN","左侧","70.0","21.67","24.45","0.1283","是"
"	601636","2023-04-11","CN","右侧","75.0","10.6","12.13","0.1443","是"
"	002173","2023-04-11","CN","左侧","70.0","6.92","7.58","0.0954","否"
"	688777","2023-04-11","CN","右侧","100.0","98.96","102.2","0.0327","否"
"	603800","2023-04-11","CN","左侧","75.0","28.18","28.7","0.0185","否"
"	002506","2023-04-12","CN","左侧","75.0","3.07","3.22","0.0489","否"
"	002025","2023-04-12","CN","左侧","70.0","60.29","68.2","0.1312","是"
"	002050","2023-04-13","CN","左侧","90.0","23.8","26.18","0.1","否"
"	601669","2023-04-13","CN","右侧","85.0","7.71","7.99","0.0363","否"
"	002265","2023-04-13","CN","左侧","70.0","13.34","14.18","0.063","否"
"	600528","2023-04-13","CN","左侧","70.0","9.91","11.3","0.1403","是"
"	603759","2023-04-13","CN","左侧","70.0","9.4","9.46","0.0064","否"
"	301008","2023-04-14","CN","左侧","70.0","26.3","27.3","0.038","否"
"	601179","2023-04-17","CN","右侧","90.0","5.65","6.2","0.0973","否"
"	000001","2023-04-17","CN","右侧","75.0","12.93","13.6","0.0518","否"
"	600343","2023-04-17","CN","左侧","75.0","10.16","10.45","0.0285","否"
"	300398","2023-04-17","CN","左侧","70.0","20.57","20.74","0.0083","否"
"	688114","2023-04-18","CN","左侧","70.0","92.09","92.86","0.0084","否"
"	000983","2023-04-18","CN","右侧","85.0","10.92","11.0","0.0073","否"
"	002519","2023-04-18","CN","右侧","75.0","5.45","6.29","0.1541","是"
"	603738","2023-04-19","CN","右侧","75.0","27.0","31.09","0.1515","是"
"	603228","2023-04-19","CN","右侧","85.0","26.36","27.55","0.0451","否"
"	002415","2023-04-19","CN","左侧","75.0","43.16","43.55","0.009","否"
"	003007","2023-04-20","CN","左侧","70.0","29.68","29.8","0.004","否"
"	603068","2023-04-20","CN","左侧","70.0","34.34","34.59","0.0073","否"
"	300750","2023-04-21","CN","右侧","75.0","405.1","406.0","0.0022","否"
"	002557","2023-04-24","CN","右侧","75.0","42.12","44.65","0.0601","否"
"	002155","2023-04-24","CN","左侧","75.0","15.68","15.96","0.0179","否"
"	600619","2023-04-25","CN","右侧","100.0","6.66","6.66","0.0","否"
"	002611","2023-04-25","CN","左侧","70.0","4.93","5.47","0.1095","是"
"	601609","2023-04-26","CN","右侧","75.0","6.77","6.88","0.0162","否"
"	000735","2023-04-27","CN","左侧","90.0","7.36","7.52","0.0217","否"
"	002956","2023-04-27","CN","右侧","85.0","15.2","17.42","0.1461","是"
"	300223","2023-04-27","CN","左侧","70.0","86.4","96.49","0.1168","是"
"	600176","2023-04-28","CN","左侧","75.0","14.46","15.47","0.0698","否"
"	603103","2023-04-28","CN","右侧","75.0","16.68","20.3","0.217","是"
"	000558","2023-05-04","CN","右侧","85.0","2.96","3.28","0.1081","是"
"	000997","2023-05-04","CN","右侧","85.0","17.23","20.08","0.1654","是"
"	002131","2023-05-04","CN","右侧","75.0","2.58","2.58","0.0","否"
"	002135","2023-05-04","CN","右侧","75.0","6.64","7.33","0.1039","是"
"	600999","2023-05-04","CN","右侧","75.0","14.37","15.78","0.0981","否"
"	002728","2023-05-10","CN","左侧","90.0","21.9","27.49","0.2553","是"
"	600550","2023-05-10","CN","右侧","90.0","5.17","5.39","0.0426","否"
"	600660","2023-05-12","CN","左侧","70.0","33.85","34.86","0.0298","否"
"	002202","2023-05-12","CN","左侧","75.0","11.09","11.48","0.0352","否"
"	002371","2023-05-15","CN","左侧","90.0","288.72","328.01","0.1361","是"
"	688777","2023-05-16","CN","左侧","70.0","98.68","105.87","0.0729","否"
"	002364","2023-05-17","CN","右侧","90.0","8.15","8.36","0.0258","否"
"	002265","2023-05-17","CN","右侧","75.0","13.48","13.95","0.0349","否"
"	002625","2023-05-18","CN","左侧","90.0","16.25","16.42","0.0105","否"
"	002173","2023-05-18","CN","右侧","90.0","7.15","13.52","0.8909","是"
"	603380","2023-05-18","CN","右侧","85.0","23.82","24.1","0.0118","否"
"	002506","2023-05-19","CN","左侧","70.0","2.98","3.02","0.0134","否"
"	301008","2023-05-19","CN","右侧","90.0","26.56","27.49","0.035","否"
"	600998","2023-05-19","CN","左侧","70.0","15.77","16.83","0.0672","否"
"	600343","2023-05-19","CN","右侧","90.0","10.1","10.37","0.0267","否"
"	600000","2023-05-19","CN","左侧","70.0","7.58","7.6","0.0026","否"
"	603599","2023-05-19","CN","左侧","70.0","29.3","29.5","0.0068","否"
"	603337","2023-05-22","CN","左侧","70.0","19.41","19.99","0.0299","否"
"	002959","2023-05-23","CN","左侧","90.0","83.52","97.7","0.1698","是"
"	002402","2023-05-23","CN","左侧","90.0","15.48","16.9","0.0917","否"
"	603067","2023-05-23","CN","左侧","70.0","12.11","12.4","0.0239","否"
"	600089","2023-05-24","CN","左侧","70.0","22.6","23.08","0.0212","否"
"	000983","2023-05-24","CN","左侧","70.0","10.28","10.79","0.0496","否"
"	002241","2023-05-24","CN","左侧","70.0","18.01","19.47","0.0811","否"
"	601179","2023-05-24","CN","左侧","70.0","5.37","5.6","0.0428","否"
"	688114","2023-05-25","CN","右侧","75.0","78.8","94.2","0.1954","是"
"	688498","2023-05-25","CN","右侧","75.0","246.77","339.6","0.3762","是"
"	603496","2023-05-25","CN","左侧","70.0","18.13","20.0","0.1031","是"
"	603859","2023-05-25","CN","左侧","70.0","43.55","51.25","0.1768","是"
"	002557","2023-05-26","CN","左侧","90.0","42.37","44.48","0.0498","否"
"	603527","2023-05-26","CN","右侧","90.0","12.28","13.82","0.1254","是"
"	603759","2023-05-26","CN","右侧","90.0","9.2","9.55","0.038","否"
"	603228","2023-05-26","CN","右侧","85.0","23.76","28.8","0.2121","是"
"	002294","2023-05-26","CN","右侧","75.0","36.08","36.25","0.0047","否"
"	000001","2023-05-26","CN","左侧","70.0","12.11","12.2","0.0074","否"
"	603800","2023-05-26","CN","右侧","85.0","24.99","28.98","0.1597","是"
"	600875","2023-05-31","CN","左侧","90.0","17.98","18.85","0.0484","否"
"	601231","2023-05-31","CN","右侧","90.0","14.04","15.22","0.084","否"
"	603519","2023-06-01","CN","右侧","85.0","14.11","15.97","0.1318","是"
"	002603","2023-06-05","CN","左侧","70.0","28.55","28.56","0.0004","否"
"	603659","2023-06-05","CN","左侧","75.0","34.74","38.97","0.1218","是"
"	002373","2023-06-05","CN","左侧","75.0","13.8","14.59","0.0572","否"
"	002611","2023-06-05","CN","左侧","75.0","5.1","5.86","0.149","是"
"	600900","2023-06-06","CN","左侧","75.0","22.4","22.92","0.0232","否"
"	603667","2023-06-07","CN","左侧","70.0","11.53","17.98","0.5594","是"
"	600285","2023-06-08","CN","左侧","75.0","16.51","16.94","0.026","否"
"	002153","2023-06-08","CN","左侧","70.0","18.98","21.66","0.1412","是"
"	601636","2023-06-09","CN","右侧","90.0","9.19","9.73","0.0588","否"
"	600838","2023-06-09","CN","右侧","85.0","6.75","7.12","0.0548","否"
"	002519","2023-06-09","CN","左侧","70.0","5.99","7.5","0.2521","是"
"	603297","2023-06-12","CN","右侧","85.0","81.77","99.96","0.2225","是"
"	002969","2023-06-12","CN","右侧","75.0","3.99","4.04","0.0125","否"
"	603601","2023-06-12","CN","右侧","75.0","4.27","4.43","0.0375","否"
"	600570","2023-06-13","CN","右侧","75.0","42.81","51.08","0.1932","是"
"	600619","2023-06-13","CN","右侧","90.0","6.39","6.74","0.0548","否"
"	600376","2023-06-14","CN","左侧","90.0","4.16","4.25","0.0216","否"
"	300750","2023-06-15","CN","右侧","85.0","232.0","235.0","0.0129","否"
"	002309","2023-06-16","CN","右侧","90.0","4.03","4.11","0.0199","否"
"	000547","2023-06-16","CN","右侧","75.0","9.82","10.09","0.0275","否"
"	002320","2023-06-16","CN","右侧","75.0","6.33","6.55","0.0348","否"
"	002171","2023-06-19","CN","右侧","85.0","7.2","7.77","0.0792","否"
"	603380","2023-06-19","CN","右侧","85.0","24.13","26.99","0.1185","是"
"	002265","2023-06-19","CN","右侧","75.0","13.97","16.97","0.2147","是"
"	600893","2023-06-20","CN","右侧","90.0","41.0","43.4","0.0585","否"
"	601778","2023-06-21","CN","左侧","70.0","4.78","5.09","0.0649","否"
"	300048","2023-06-26","CN","右侧","85.0","5.99","6.12","0.0217","否"
"	002271","2023-06-26","CN","左侧","75.0","26.72","29.15","0.0909","否"
"	002549","2023-06-27","CN","右侧","75.0","11.46","11.97","0.0445","否"
"	603067","2023-06-27","CN","左侧","75.0","11.82","12.44","0.0525","否"
"	002385","2023-06-27","CN","左侧","70.0","6.56","7.17","0.093","否"
"	688183","2023-06-27","CN","左侧","70.0","11.86","12.65","0.0666","否"
"	002371","2023-06-28","CN","右侧","75.0","313.6","324.98","0.0363","否"
"	000089","2023-06-29","CN","左侧","75.0","6.91","7.27","0.0521","否"
"	688291","2023-06-29","CN","右侧","75.0","31.2","45.95","0.4728","是"
"	002557","2023-06-30","CN","左侧","70.0","41.66","41.95","0.007","否"
"	600089","2023-06-30","CN","左侧","70.0","22.3","23.27","0.0435","否"
"	603337","2023-06-30","CN","右侧","85.0","19.04","20.72","0.0882","否"
"	003007","2023-06-30","CN","左侧","70.0","25.61","27.78","0.0847","否"
"	603103","2023-06-30","CN","左侧","70.0","16.98","21.74","0.2803","是"
"	603918","2023-06-30","CN","左侧","70.0","27.47","31.18","0.1351","是"
"	002335","2023-07-03","CN","右侧","85.0","39.56","42.73","0.0801","否"
"	000537","2023-07-03","CN","右侧","85.0","12.25","13.82","0.1282","是"
"	601609","2023-07-03","CN","右侧","75.0","6.54","6.79","0.0382","否"
"	600498","2023-07-04","CN","左侧","70.0","20.02","20.3","0.014","否"
"	300223","2023-07-04","CN","右侧","75.0","90.47","100.88","0.1151","是"
"	601868","2023-07-04","CN","左侧","75.0","2.36","2.48","0.0508","否"
"	601669","2023-07-04","CN","左侧","70.0","5.87","6.08","0.0358","否"
"	000767","2023-07-05","CN","左侧","90.0","3.18","3.97","0.2484","是"
"	002709","2023-07-05","CN","左侧","90.0","41.2","42.31","0.0269","否"
"	603520","2023-07-05","CN","左侧","90.0","16.83","17.23","0.0238","否"
"	000709","2023-07-05","CN","右侧","100.0","2.27","2.5","0.1013","是"
