code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
002028,2025-06-25,CN,右侧,35.0,74.57,83.42,0.1187,True
603979,2025-06-27,CN,右侧,60.0,46.84,51.14,0.0918,False
603979,2025-07-02,CN,右侧,50.0,48.01,51.14,0.0652,False
603979,2025-07-03,CN,右侧,50.0,46.89,51.14,0.0906,False
603979,2025-07-09,CN,右侧,60.0,45.84,51.14,0.1156,True
002028,2025-07-14,CN,右侧,45.0,76.99,83.42,0.0835,False
002028,2025-07-15,CN,右侧,45.0,82.58,85.38,0.0339,False
002028,2025-07-16,CN,右侧,50.0,80.1,87.0,0.0861,False
601628,2025-07-17,CN,左侧,55.0,39.85,43.27,0.0858,False
002028,2025-07-17,CN,右侧,50.0,79.27,87.0,0.0975,False
601628,2025-07-28,CN,右侧,50.0,42.7,43.2,0.0117,False
601628,2025-08-01,CN,左侧,55.0,40.74,43.47,0.067,False
600563,2025-08-01,CN,左侧,75.0,110.08,124.4,0.1301,True
601567,2025-08-01,CN,右侧,75.0,22.67,25.59,0.1288,True
601628,2025-08-04,CN,左侧,70.0,40.74,43.47,0.067,False
002519,2025-08-05,CN,右侧,85.0,5.48,5.68,0.0365,False
300048,2025-08-05,CN,左侧,70.0,6.22,7.1,0.1415,True
601567,2025-08-05,CN,左侧,35.0,22.72,25.59,0.1263,True
002519,2025-08-06,CN,右侧,85.0,5.5,5.68,0.0327,False
002519,2025-08-07,CN,右侧,90.0,5.44,5.68,0.0441,False
300048,2025-08-07,CN,左侧,55.0,6.15,7.1,0.1545,True
601998,2025-08-07,CN,左侧,35.0,8.42,8.46,0.0048,False
002519,2025-08-08,CN,右侧,90.0,5.46,5.68,0.0403,False
601567,2025-08-08,CN,右侧,90.0,23.61,25.59,0.0839,False
600563,2025-08-12,CN,左侧,75.0,109.56,124.83,0.1394,True
601567,2025-08-12,CN,右侧,50.0,24.4,25.59,0.0488,False
688629,2025-08-12,CN,右侧,50.0,59.29,102.3,0.7254,True
002519,2025-08-13,CN,右侧,60.0,5.59,5.63,0.0072,False
603979,2025-08-13,CN,右侧,50.0,54.56,69.97,0.2824,True
300048,2025-08-14,CN,右侧,100.0,6.31,7.1,0.1252,True
601628,2025-08-15,CN,右侧,45.0,42.32,43.47,0.0272,False
600563,2025-08-15,CN,右侧,100.0,117.89,124.83,0.0589,False
300048,2025-08-15,CN,右侧,60.0,6.72,7.1,0.0565,False
600176,2025-08-15,CN,右侧,45.0,13.23,16.72,0.2638,True
600563,2025-08-18,CN,右侧,100.0,118.0,124.83,0.0579,False
002028,2025-08-18,CN,右侧,50.0,83.98,100.88,0.2012,True
300048,2025-08-18,CN,右侧,50.0,6.75,7.1,0.0519,False
600176,2025-08-18,CN,右侧,45.0,13.37,16.72,0.2506,True
600563,2025-08-19,CN,右侧,100.0,115.15,124.83,0.0841,False
600176,2025-08-19,CN,右侧,90.0,12.99,16.72,0.2871,True
300048,2025-08-20,CN,右侧,50.0,6.85,7.1,0.0365,False
600563,2025-08-21,CN,右侧,60.0,117.98,126.5,0.0722,False
600176,2025-08-22,CN,右侧,60.0,13.54,17.58,0.2984,True
601567,2025-08-22,CN,右侧,60.0,23.41,25.18,0.0756,False
688629,2025-08-22,CN,右侧,50.0,70.12,113.0,0.6115,True
003035,2025-08-25,CN,右侧,90.0,4.82,4.91,0.0187,False
300048,2025-08-25,CN,右侧,50.0,6.8,6.83,0.0044,False
600176,2025-08-25,CN,右侧,50.0,13.58,17.58,0.2946,True
603979,2025-08-25,CN,右侧,50.0,57.84,69.97,0.2097,True
688629,2025-08-25,CN,右侧,50.0,78.5,113.0,0.4395,True
688629,2025-08-26,CN,右侧,60.0,80.62,113.0,0.4016,True
600176,2025-08-26,CN,右侧,50.0,13.77,17.58,0.2767,True
603979,2025-08-26,CN,右侧,50.0,59.8,69.97,0.1701,True
600563,2025-08-27,CN,右侧,50.0,119.85,130.6,0.0897,False
688629,2025-08-27,CN,右侧,50.0,80.1,113.0,0.4107,True
600176,2025-08-28,CN,右侧,60.0,14.19,17.58,0.2389,True
688629,2025-08-28,CN,右侧,50.0,92.21,113.0,0.2255,True
601628,2025-08-29,CN,右侧,35.0,42.08,42.46,0.009,False
603979,2025-08-29,CN,右侧,50.0,63.75,69.97,0.0976,False
002028,2025-09-01,CN,右侧,60.0,96.36,114.87,0.1921,True
600176,2025-09-01,CN,右侧,60.0,16.3,17.58,0.0785,False
603979,2025-09-01,CN,右侧,50.0,69.05,69.66,0.0088,False
600938,2025-09-02,CN,右侧,85.0,26.38,27.24,0.0326,False
003035,2025-09-02,CN,右侧,75.0,4.79,4.94,0.0313,False
002028,2025-09-02,CN,右侧,60.0,90.85,114.87,0.2644,True
600176,2025-09-02,CN,右侧,60.0,15.08,17.58,0.1658,True
603979,2025-09-02,CN,右侧,60.0,65.36,70.26,0.075,False
601567,2025-09-03,CN,左侧,70.0,22.5,26.7,0.1867,True
603979,2025-09-04,CN,右侧,50.0,62.57,76.29,0.2193,True
601628,2025-09-05,CN,左侧,55.0,40.03,40.3,0.0067,False
600938,2025-09-05,CN,左侧,55.0,25.74,27.24,0.0583,False
300048,2025-09-05,CN,右侧,35.0,6.78,7.08,0.0442,False
600938,2025-09-09,CN,左侧,70.0,25.95,27.24,0.0497,False
300048,2025-09-17,CN,左侧,70.0,6.68,7.08,0.0599,False
688629,2025-09-18,CN,右侧,50.0,106.21,113.0,0.0639,False
600176,2025-09-25,CN,右侧,50.0,17.08,17.48,0.0234,False
600563,2025-09-25,CN,右侧,35.0,125.08,134.5,0.0753,False
603979,2025-09-25,CN,右侧,35.0,67.93,76.29,0.1231,True
003035,2025-09-29,CN,右侧,75.0,4.81,5.18,0.0769,False
300048,2025-10-09,CN,右侧,35.0,6.87,7.03,0.0233,False
300048,2025-10-10,CN,右侧,90.0,6.75,7.03,0.0415,False
601567,2025-10-10,CN,右侧,60.0,26.5,27.7,0.0453,False
603979,2025-10-10,CN,右侧,50.0,68.08,71.79,0.0545,False
300048,2025-10-13,CN,右侧,60.0,6.82,7.03,0.0308,False
002028,2025-10-14,CN,右侧,60.0,102.83,152.75,0.4855,True
688629,2025-10-14,CN,左侧,55.0,84.49,90.99,0.0769,False
300048,2025-10-14,CN,右侧,50.0,6.79,6.92,0.0191,False
688629,2025-10-15,CN,左侧,70.0,85.82,90.99,0.0602,False
002028,2025-10-15,CN,右侧,50.0,107.58,153.88,0.4304,True
601628,2025-10-16,CN,右侧,60.0,42.8,45.73,0.0685,False
601628,2025-10-17,CN,右侧,50.0,40.81,45.73,0.1206,True
003035,2025-10-17,CN,右侧,100.0,4.92,5.34,0.0854,False
688629,2025-10-17,CN,左侧,90.0,81.05,90.99,0.1226,True
601628,2025-10-20,CN,右侧,60.0,42.5,45.73,0.076,False
003035,2025-10-20,CN,右侧,90.0,4.96,5.34,0.0766,False
600176,2025-10-20,CN,左侧,70.0,15.37,17.05,0.1093,True
002028,2025-10-20,CN,右侧,50.0,114.47,154.39,0.3487,True
601628,2025-10-21,CN,右侧,60.0,43.99,45.73,0.0396,False
002028,2025-10-21,CN,右侧,50.0,122.85,154.39,0.2567,True
600938,2025-10-22,CN,右侧,75.0,27.13,30.07,0.1084,True
600938,2025-10-23,CN,右侧,75.0,27.49,30.07,0.0939,False
600176,2025-10-23,CN,左侧,70.0,15.33,17.05,0.1122,True
600563,2025-10-23,CN,左侧,70.0,120.75,134.5,0.1139,True
601567,2025-10-23,CN,左侧,70.0,23.03,29.3,0.2723,True
601567,2025-10-24,CN,左侧,70.0,23.01,29.3,0.2734,True
601567,2025-10-28,CN,右侧,35.0,24.42,29.3,0.1998,True
002519,2025-10-31,CN,左侧,70.0,4.63,5.14,0.1102,True
002028,2025-11-03,CN,右侧,50.0,136.0,154.39,0.1352,True
600938,2025-11-03,CN,右侧,50.0,28.42,30.07,0.0581,False
002028,2025-11-04,CN,右侧,50.0,142.89,154.39,0.0805,False
002028,2025-11-05,CN,右侧,60.0,140.01,154.39,0.1027,True
601567,2025-11-05,CN,右侧,45.0,26.42,29.3,0.109,True
003035,2025-11-05,CN,右侧,35.0,5.13,5.34,0.0409,False
002028,2025-11-06,CN,右侧,50.0,147.7,154.39,0.0453,False
601567,2025-11-06,CN,右侧,45.0,27.1,29.3,0.0812,False
603979,2025-11-10,CN,左侧,50.0,64.61,70.42,0.0899,False
600176,2025-11-11,CN,左侧,70.0,15.86,16.58,0.0454,False
601567,2025-11-12,CN,右侧,50.0,27.05,27.85,0.0296,False
600176,2025-11-13,CN,右侧,35.0,16.53,16.35,-0.0109,False
002519,2025-11-17,CN,右侧,60.0,4.94,7.27,0.4717,True
688629,2025-11-17,CN,右侧,35.0,85.48,89.8,0.0505,False
002519,2025-11-18,CN,右侧,50.0,4.81,7.27,0.5114,True
